 sXXXXXXX	What are the satellites of Mars?
 s2977419	Between which dates Austro-Hungarian Empire existed?
 s2761041	Body of water that is located next to Paris?
 s2762161	By which nations were the United Nations founded?
 s2772841	Can you tell me which timezones there are in the continent of Australia?
 s2762161	Chichen Itza is part of what country?
 s2974797	Could you give me all geysers in Iceland?
 s2455951	Do the Pyrenees cross Andorra?
 s2615703	Europe shares borders with?
 s2364328	From high to low, what are the highest and lowest points in the European Netherlands?
 s2364328	From where to where does the Rhine flow?
 s2889439	Give the name of the supercontinent that existed during the late paleozoic era.
 s2865300	How big is the area covered by the Sahara desert?
 s2515970	How big is the Atlantic Ocean
 s2386844	How big is the surface of the sahara desert?
 s2957531	How deep is the Black Sea?
 s2986280	How deep is the deepest point of the Earth?
 s2197367	How deep is the Grand Canyon?
 s2986280	How do we call a allotrope of carbon?
 s2784866	How far above sea level is the highest point in North America?
 s3157423	How high above sea level is the highest point in India, called Kanchenjunga?
 s2909073	How high above the sea level is Groningen elevated?
 s2938928	How high is Mount Kilimanjaro?
 s2762161	How high is the highest point in Europe?
 s2762161	How is the capital of Iceland named?
 s2455951	How is the highest point of Slovenia called?
 s2644789	How is the type of biome called where the tree growth is hindered by low temperatures and short growing seasons?
 s2745135	How large is the area of Liechtenstein?
 s3135144	How large is the city of Fukuoka?
 s2890216	How long is the Equator?
 s2386844	How long is the longest river in Asia?
 s2683423	How long is the Nile?
 s2990571	How long is the river Nile?
 s2536420	How many bodies of water are located in or next to The Netherlands?
 s2748150	How many citizens does Africa have?
 s2615371	How many citizens does Moscow had in 2014?
 s2615371	How many citizens does the Netherlands had in 2014?
 s2954524	How many countries border lake Victoria?
 s2644789	How many countries does the equator pass through?
 s2455951	How many countries does the Nile cross?
 s2938928	How many countries does Uganda border on?
 s2853442	How many days does the longest polar night last at the South Pole?
 s2986280	How many days does the orbital period of the Earth consist of?
 s2856743	How many independent states arose out of the dissolution of the Soviet Union?
 s3249212	How many inhabitants does London, England have in 1901?
 s2615371	How many meters above sealevel is the highest point on earth?
 s3219496	How many meters below sealevel is the deepest point of the Pacific Ocean?
 s2615371	How many meters below sealevel is the lowest known point on Earth?
 s2455951	How many million inhabitants did Europe have in 1900?
 s2986280	How many Oceans does the World Ocean consist of?
 s2909073	How many official languages does South-Africa have?
