 sXXXXXXX	What are the satellites of Mars?
 s2761041	Body of water that is located next to Paris?
 s2772841	Can you tell me which timezones there are in the continent of Australia?
 s2762161	Chichen Itza is part of what country?
 s2974797	Could you give me all geysers in Iceland?
 s2455951	Do the Pyrenees cross Andorra?
 s2615703	Europe shares borders with?
 s2865300	How big is the area covered by the Sahara desert?
 s2515970	How big is the Atlantic Ocean
 s2957531	How deep is the Black Sea?
 s2986280	How deep is the deepest point of the Earth?
 s2197367	How deep is the Grand Canyon?
 s2784866	How far above sea level is the highest point in North America?
 s3157423	How high above sea level is the highest point in India, called Kanchenjunga?
 s2909073	How high above the sea level is Groningen elevated?
 s2938928	How high is Mount Kilimanjaro?
 s2762161	How high is the highest point in Europe?
 s2762161	How is the capital of Iceland named?
 s2455951	How is the highest point of Slovenia called?
 s2745135	How large is the area of Liechtenstein?
 s3135144	How large is the city of Fukuoka?
 s2890216	How long is the Equator?
 s2386844	How long is the longest river in Asia?
 s2990571	How long is the river Nile?
 s2748150	How many citizens does Africa have?
 s2615371	How many citizens does Moscow had in 2014?
 s2615371	How many citizens does the Netherlands had in 2014?
 s2954524	How many countries border lake Victoria?
 s2644789	How many countries does the equator pass through?
 s2455951	How many countries does the Nile cross?
 s2938928	How many countries does Uganda border on?
 s3249212	How many inhabitants does London, England have in 1901?
 s2615371	How many meters above sealevel is the highest point on earth?
 s3219496	How many meters below sealevel is the deepest point of the Pacific Ocean?
 s2615371	How many meters below sealevel is the lowest known point on Earth?
 s2455951	How many million inhabitants did Europe have in 1900?
 s2986280	How many Oceans does the World Ocean consist of?
 s2909073	How many official languages does South-Africa have?
 s2683423	How many people lived in Berlin in 1600?
 s2954524	How many people live in Serbia?
 s2738694	How many people were living in the United States of America on 2010?
 s2644789	How many provinces has the Netherlands?
 s2740761	 How many rivers flow into Lake Superior?
 s3249212	How many sister cities does London have?
 s3135144	How many sister cities does Vancouver have?
 s3219496	How many square kilometers is the area of the Andes?
 s2890216	How tall is Mount Everest?
 s2748150	If you were in the city of Turin, what country would you be in?
 s2212781	In what continent lies the Mount Everest?
 s2945029	In what countries do the Alps lie?
 s2364328	In what country and continent does Mount Ararat lie?
 s2901560	In what country do kangaroos live?
 s2364328	In what country is the Arc de Triomphe located?
 s3219496	In what country is the highest point of the world?
 s2969041	In what country is the Seine river located?
 s2757656	In what province is the capital of the Netherlands situated?
 s2732947	In what year is Mexico founded?
 s2784866	In what year was the Czech Republic founded?
 s2953293	In which city is The Kuip located?
 s2748150	In which city is the Trevi fountain located?
 s2762161	In which city was the head of government of the Netherlands born?
 s2745135	In which continent is finland located?
 s2515970	In which continent is the country China located
 s2986280	In which continent is the highest mountain of the Earth?
 s2655012	In which countries can the river Rhine be found?
 s2953293	In which countries is the Sahara desert located?
 s3157423	In which country can you visit Machu Pichu?
 s3092836	In which country does the Abor flow?
 s2197367	In which country is Mount Everest?
 s3212599	In which country is Pratt's Bottom located?
 s3071723	In which country is the 'Bridge of No Return' situated?
 s2890216	In which country is the hightest point of the Carpathian Mountains located?
 s2953293	In which country is the Mount Everest located?
 s2990571	In which state lies the city of Milwaukee?
 s2762161	In which states of the United States of America is Yellowstone National Park located??
 s2865300	In which time zone is Hong Kong located?
 s2515970	In which time zones is Ecuador located?
 s2762161	In which year was the Ijsselmeer in the Netherlands created?
 s3141217	Is Australia a continent?
 s2731517	Is Belgium a member of the EU?
 s2364328	Is Europe part of Eurasia?
 sXXXXXXX	What is gemology?
 s2909073	Is Germany a republic?
 s3177963	Is it true, that the Vatican has the smallest population on earth?
 sXXXXXXX	What is the elevation of Machu Pichu?
 s2974797	Is the European Union a supranational organisation?
 s3177963	Is the majority of the people living in cities in the United States?
 s2481359	Is Turkey part of Europe?
 s3141217	Is yogyakarta a city?
 sXXXXXXX	What kind of government does the Netherlands have?
 s2986280	List all administrative territorial entities in the Netherlands?
 s2745135	List all countries Paraguay shares a border with.
 s2536420	List all of the capital cities of South Africa.
 s2945029	List official languages there are in the Netherlands?
 s3135144	List the official languages of New Zealand.
 s2856743	List the official languages of Switzerland
 s315723	List the tributaries of the Jhelum River which flows through Punjab.
 s2901560	Montevideo is the capital of what South American country?
 s3157423	Name the capital of the Andaman and Nicobar Islands.
 s3135144	name the deepest point of Indian Ocean.
 s2536420	Name the motto of Canada
 s2740761	 Name the South American countries intersected by the equator
 s2761041	Of how many square kilometres does Berlin exist?
 s2655012	Of which continents is the Kingdom of the Netherlands a part of?
 sXXXXXXX	How old is Earth?
 s2772841	On what continent is Mongolia located?
 s2468360	On what continent is the Sahara desert located?
 s2197367	On which continent is the Onyx River located?
 s2974797	On which island lies Nanaimo?
 s3177963	Ouagadougou is the capital of which country?
 s2901560	Over what countries is the Pyrenees spread?
 s2212781	Paella was originated in what country?
 s3177963	Report the number of counties in Hungary
 s2615703	Scandinavia consists of which countries?
 s3210812	Since when has Berlin been the capital of Germany?
 s3157423	State the area of the Indian state of Assam.
 s3135144	State the capital of Brazil before 1960.
 s3157423	State the height of Azure Window.
 s3135144	State the height of the highest peak in Jamaica.
 s2889439	Tell me, what is the shortest named river on the planet?
 s2901560	The Caspian Sea is located in which countries?
 s2212781	The Grand Canyon is located in which state?
 sXXXXXXX	Are the Hymalayans in Asia?
 s2615703	The Mount Everest is located in which country?
